"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL339751";"";"";"Small molecule";"";"668.73";"5";"8";"1.62";"217.30";"11";"5";"2";"12";"N";"0.19";"3.31";"8.19";"0.49";"0.44";"3";"MOL";"-1";"47";"16";"5";"2";"668.2377";"-0.55";"ACID";"C30H36N8O8S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NO[C@]3(C2)C[C@@H](CNc2ncc[nH]2)N(C(=O)OCc2cccnc2)C3)C(=O)O)c(C)c1";"KCNHHQRQBVCSLO-RSDZZNSJSA-N"
"CHEMBL2111839";"";"";"Small molecule";"";"667.75";"3";"3";"1.41";"200.45";"11";"4";"2";"12";"N";"0.26";"3.33";"1.02";"3.67";"0.25";"2";"MOL";"-1";"47";"15";"4";"2";"667.2424";"-0.22";"ACID";"C31H37N7O8S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NO[C@@]3(C2)C[C@@H](CNC2N=CC=N2)N(C(=O)OCc2ccccc2)C3)C(=O)O)c(C)c1";"MDRYYKCWQBJPBJ-RUANNXQISA-N"
"CHEMBL127377";"";"";"Small molecule";"";"547.68";"3";"3";"1.60";"158.55";"9";"4";"1";"8";"N";"0.38";"3.46";"11.85";"1.09";"1.09";"1";"MOL";"-1";"38";"11";"4";"2";"547.2465";"-0.05";"ZWITTERION";"C26H37N5O6S";"Cc1cc(C)c(S(=O)(=O)[C@@H](CNC(=O)C2=NOC3(CCC(CNC4=NCCCN4)CC3)C2)C(=O)O)c(C)c1";"OGPDDASHGHQOEW-AHRWMNNESA-N"
"CHEMBL86094";"";"";"Small molecule";"";"570.72";"4";"4";"2.23";"143.44";"8";"4";"1";"9";"N";"0.36";"3.49";"9.91";"1.13";"1.13";"2";"MOL";"-1";"40";"11";"4";"2";"570.2624";"-1.13";"ZWITTERION";"C28H38N6O5S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CCC(=O)N2CCN(c3cccc(NC4=NCCCN4)c3)CC2)C(=O)O)c(C)c1";"AEZOMALWKBTDJK-DEOSSOPVSA-N"
"CHEMBL146264";"";"";"Small molecule";"";"643.67";"7";"8";"2.81";"174.47";"6";"6";"2";"9";"N";"0.18";"3.55";"9.13";"1.79";"1.79";"3";"MOL";"-1";"36";"10";"7";"2";"529.1454";"-1.09";"ZWITTERION";"C26H28F3N5O7S2";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)c2ccc(-c3cccc(NC(=N)N)c3)s2)C(=O)O)c(C)c1.O=C(O)C(F)(F)F";"KGQCYFLHOPQKND-FERBBOLQSA-N"
"CHEMBL340703";"";"";"Small molecule";"";"531.64";"3";"3";"2.50";"162.84";"8";"4";"1";"9";"N";"0.38";"3.46";"8.20";"2.01";"1.95";"2";"MOL";"-1";"37";"11";"4";"2";"531.2152";"-0.22";"ACID";"C25H33N5O6S";"Cc1cc(C)c(S(=O)(=O)[C@@H](CNC(=O)C2=NOC3(CCC(CNc4ncc[nH]4)CC3)C2)C(=O)O)c(C)c1";"RMQFETNIXUKPIU-PSWPWZSKSA-N"
"CHEMBL315956";"";"";"Small molecule";"";"521.62";"4";"4";"1.83";"138.40";"7";"5";"1";"9";"N";"0.34";"3.88";"9.97";"-0.40";"-0.40";"2";"MOL";"-1";"38";"11";"5";"2";"521.2751";"-1.12";"ZWITTERION";"C27H35N7O4";"O=C(NCc1ccccc1)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)C(=O)O";"RGPCXWUHNLAAMX-QHCPKHFHSA-N"
"CHEMBL2373037";"";"";"Protein";"";"588.67";"2";"2";"-2.18";"238.41";"7";"7";"2";"9";"N";"0.09";"3.98";"10.44";"-3.74";"-3.74";"1";"BOTH";"-1";"42";"15";"9";"3";"588.3020";"1.37";"ZWITTERION";"C27H40N8O7";"CC(C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O";"WROMAHOUFMMNHT-OZIGNCPNSA-N"
"CHEMBL126341";"";"";"Small molecule";"";"667.75";"3";"3";"1.41";"200.45";"11";"4";"2";"12";"N";"0.26";"3.33";"1.02";"3.67";"0.25";"2";"MOL";"-1";"47";"15";"4";"2";"667.2424";"-0.22";"ACID";"C31H37N7O8S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NO[C@]3(C2)C[C@@H](CNC2N=CC=N2)N(C(=O)OCc2ccccc2)C3)C(=O)O)c(C)c1";"MDRYYKCWQBJPBJ-OBFLODNTSA-N"
"CHEMBL58763";"";"";"Protein";"";"715.77";"5";"8";"-6.27";"377.08";"12";"12";"3";"23";"N";"0.03";"3.43";"10.97";"-11.41";"-11.90";"0";"BOTH";"-1";"50";"22";"16";"3";"715.3613";"0.25";"ZWITTERION";"C28H49N11O11";"NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CN)C(=O)O";"ZRVZOBGMZWVJOS-VMXHOPILSA-N"
"CHEMBL127525";"";"";"Small molecule";"";"558.44";"3";"3";"2.88";"162.84";"8";"4";"1";"9";"N";"0.37";"3.24";"8.20";"1.68";"1.62";"2";"MOL";"-1";"36";"11";"4";"2";"557.0903";"-0.28";"ACID";"C22H25Cl2N5O6S";"O=C(NC[C@@H](C(=O)O)S(=O)(=O)c1c(Cl)cccc1Cl)C1=NOC2(CCC(CNc3ncc[nH]3)CC2)C1";"PMAJLXGMRNEKIX-YBEBCVOYSA-N"
"CHEMBL417066";"";"";"Small molecule";"";"488.59";"5";"9";"4.44";"120.42";"5";"4";"0";"12";"N";"0.22";"4.35";"7.43";"2.01";"1.74";"3";"MOL";"-1";"36";"8";"4";"0";"488.2424";"-0.69";"ACID";"C28H32N4O4";"Cc1ccnc(NCCCCC(=O)NNC(=O)CC(CC(=O)O)c2ccc(-c3ccccc3)cc2)c1";"PACDIVMUVSJXND-UHFFFAOYSA-N"
"CHEMBL423577";"";"";"Small molecule";"";"601.59";"3";"4";"1.88";"174.47";"6";"6";"1";"9";"N";"0.20";"3.28";"8.94";"0.25";"0.24";"3";"MOL";"-1";"33";"10";"7";"1";"487.0984";"-1.02";"ZWITTERION";"C23H22F3N5O7S2";"N=C(N)Nc1ccc(-c2ccc(C(=O)NC[C@H](NS(=O)(=O)c3ccccc3)C(=O)O)s2)cc1.O=C(O)C(F)(F)F";"IUVMIRIXPFKILX-NTISSMGPSA-N"
"CHEMBL344535";"";"";"Small molecule";"";"601.59";"8";"11";"1.88";"174.47";"6";"6";"1";"9";"N";"0.20";"3.28";"9.10";"0.25";"0.25";"3";"MOL";"-1";"33";"10";"7";"1";"487.0984";"-1.14";"ZWITTERION";"C23H22F3N5O7S2";"N=C(N)Nc1cccc(-c2ccc(C(=O)NC[C@H](NS(=O)(=O)c3ccccc3)C(=O)O)s2)c1.O=C(O)C(F)(F)F";"QNAZZNDAFAAQKP-NTISSMGPSA-N"
"CHEMBL423214";"";"";"Small molecule";"";"601.59";"3";"4";"1.88";"174.47";"6";"6";"1";"9";"N";"0.20";"3.24";"9.04";"0.25";"0.25";"3";"MOL";"-1";"33";"10";"7";"1";"487.0984";"-1.01";"ZWITTERION";"C23H22F3N5O7S2";"N=C(N)Nc1ccccc1-c1ccc(C(=O)NC[C@H](NS(=O)(=O)c2ccccc2)C(=O)O)s1.O=C(O)C(F)(F)F";"XETFCIJVSIXXBX-NTISSMGPSA-N"
"CHEMBL84911";"";"";"Small molecule";"";"460.54";"4";"4";"1.08";"135.60";"8";"4";"0";"8";"N";"0.45";"3.67";"9.97";"-1.04";"-1.04";"1";"MOL";"-1";"33";"11";"4";"1";"460.2434";"-0.96";"ZWITTERION";"C22H32N6O5";"CCOC(=O)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)C(=O)O";"INPJXWNSGITHFI-SFHVURJKSA-N"
"CHEMBL407984";"";"";"Small molecule";"";"504.59";"4";"4";"0.68";"155.83";"9";"5";"1";"9";"N";"0.33";"3.90";"9.36";"-0.84";"-0.85";"1";"MOL";"-1";"36";"12";"5";"2";"504.2696";"-0.63";"ZWITTERION";"C24H36N6O6";"CC(C)COC(=O)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCC(O)CN3)c2)CC1)C(=O)O";"IZIPDPPLSSBGTL-FQEVSTJZSA-N"
"CHEMBL313045";"";"";"Small molecule";"";"459.55";"4";"4";"0.65";"138.40";"7";"5";"0";"8";"N";"0.38";"3.91";"9.97";"-1.77";"-1.77";"1";"MOL";"-1";"33";"11";"5";"1";"459.2594";"-1.19";"ZWITTERION";"C22H33N7O4";"CCNC(=O)N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)C(=O)O";"VJKNTBIICLHWFT-SFHVURJKSA-N"
"CHEMBL126983";"";"";"Small molecule";"";"633.73";"5";"6";"1.82";"204.41";"10";"5";"1";"13";"N";"0.20";"3.33";"8.19";"1.33";"1.26";"2";"MOL";"-1";"44";"15";"5";"2";"633.2581";"-0.36";"ACID";"C28H39N7O8S";"CCCCOC(=O)N1C[C@@]2(CC(C(=O)NC[C@H](NS(=O)(=O)c3c(C)cc(C)cc3C)C(=O)O)=NO2)C[C@H]1CNc1ncc[nH]1";"TZNXKIAIKROUOK-AHPZTNMXSA-N"
"CHEMBL87688";"";"";"Small molecule";"";"538.61";"4";"4";"1.23";"155.83";"9";"5";"1";"9";"N";"0.32";"3.76";"9.36";"-0.36";"-0.37";"2";"MOL";"-1";"39";"12";"5";"2";"538.2540";"-0.60";"ZWITTERION";"C27H34N6O6";"O=C(N[C@@H](CCC(=O)N1CCN(c2cccc(NC3=NCC(O)CN3)c2)CC1)C(=O)O)OCc1ccccc1";"FXUNUOYKSJCHND-QHCPKHFHSA-N"
"CHEMBL357486";"";"";"Small molecule";"";"615.61";"4";"5";"1.56";"174.47";"6";"6";"2";"10";"N";"0.18";"3.26";"11.97";"0.07";"0.07";"3";"MOL";"-1";"34";"10";"7";"2";"501.1141";"-0.90";"ZWITTERION";"C24H24F3N5O7S2";"N=C(N)NCc1ccccc1-c1ccc(C(=O)NC[C@H](NS(=O)(=O)c2ccccc2)C(=O)O)s1.O=C(O)C(F)(F)F";"FRJYDNULLGUVOY-LMOVPXPDSA-N"
"CHEMBL126925";"";"";"Small molecule";"";"489.55";"3";"3";"1.57";"162.84";"8";"4";"0";"9";"N";"0.41";"3.19";"8.20";"0.47";"0.41";"2";"MOL";"-1";"34";"11";"4";"1";"489.1682";"-0.23";"ACID";"C22H27N5O6S";"O=C(NC[C@@H](C(=O)O)S(=O)(=O)c1ccccc1)C1=NOC2(CCC(CNc3ncc[nH]3)CC2)C1";"FXDNOSCPUWVWCC-TUAABQIMSA-N"
"CHEMBL338665";"";"";"Small molecule";"";"717.81";"3";"3";"3.37";"204.41";"10";"5";"1";"12";"N";"0.14";"3.33";"6.97";"2.78";"2.23";"4";"MOL";"-1";"51";"15";"5";"2";"717.2581";"-0.49";"ACID";"C35H39N7O8S";"Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NO[C@]3(C2)C[C@@H](CNc2nc4ccccc4[nH]2)N(C(=O)OCc2ccccc2)C3)C(=O)O)c(C)c1";"JZNNOQAIUYCKAJ-NUMQFJNSSA-N"
