DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D0007J,,476.39,3.415,4,3,62.39,6,4
D0007K,,466.567,4.183,6,1,99.91,3,6
D0007L,,473.386,4.992,2,1,49.41,5,4
D0007M,,450.804,5.56,2,1,38.33,5,3
D0007N,,497.617,3.13,7,1,99.52,9,4
D0007O,,450.558,3.391,5,1,59.39,6,5
D0007P,,503.636,4.107,5,1,81.7,8,4
D0007Q,,475.568,4.105,5,1,78.43,5,5
D0007R,,476.842,6.188,2,1,38.33,6,4
D0007S,,460.553,4.377,4,0,58.44,4,5
D0007T,,486.638,1.663,6,4,108.56,8,4
D0007U,,478.568,2.613,5,2,83.03,5,5
D0007V,,467.501,1.936,7,1,106.01,5,5
D0007W,,485.65,2.874,5,2,87.74,7,4
D0007X,,455.44,5.874,2,2,41.13,7,4
D0007Y,,500.599,2.92,7,0,77.02,6,6
D0007Z,,449.433,4.295,3,1,41.57,6,4
D00080,,478.543,4.296,4,0,58.44,5,5
D00081,,480.652,5.691,3,0,32.78,6,6
D00082,,466.553,3.18,4,0,59.08,5,5
D00083,,502.583,3.366,4,0,74.76,4,5
D00084,,516.063,3.155,4,1,86.79,4,5
D00085,,487.438,3.833,4,1,50.8,7,4
D00086,,452.986,4.434,5,2,68.18,8,4
D00087,,459.512,4.059,3,1,62.3,5,4
D00088,,473.535,4.881,3,0,38.77,4,5
D00089,,464.585,3.033,4,1,69.88,5,5
D0008A,,455.961,4.802,4,1,56.15,6,5
D0008B,,548.503,3.162,4,1,78.95,4,5
D0008C,,468.583,4.155,6,1,99.91,2,5
D0008D,,471.439,5.283,3,2,50.36,6,4
D0008E,,494.588,3.184,6,0,77.54,7,5
D0008F,,466.622,3.394,5,2,68.82,9,4
D0008G,,464.013,4.488,5,2,70.15,5,5
D0008H,,500.552,2.357,6,2,121.6,7,5
D0008I,,535.663,2.465,5,1,103.86,4,5
D0008J,,502.472,4.436,3,2,44.37,7,4
D0008K,,489.414,2.588,5,1,76.46,6,4
D0008L,,518.431,2.564,4,3,76.71,5,4
D0008M,,470.52,3.005,6,2,77.41,6,5
D0008N,,497.433,3.906,3,1,58.64,3,5
D0008O,,482.426,3.75,5,1,63.05,6,4
D0008P,,464.541,2.634,4,1,86.95,3,5
D0008Q,,503.391,5.351,4,1,59.81,7,4
D0008R,,477.954,5.588,2,0,29.54,3,5
D0008S,,495.605,2.81,6,1,96.77,4,5
D0008T,,490.873,4.344,3,2,44.37,6,4
D0008U,,470.972,3.887,3,0,49.85,4,5
D0008V,,496.593,1.133,7,1,109.14,3,6
D0008W,,500.441,3.547,5,2,77.57,5,4
D0008X,,465.981,3.355,4,1,71,4,5
D0008Y,,502.409,3.338,5,1,80.76,6,4
D0008Z,,516.635,3.485,5,1,92.78,7,4
D00090,,466.589,5.645,6,1,75.94,6,6
D00091,,451.611,2.642,5,3,71.62,8,4
D00092,,486.551,3.369,6,1,90.79,3,6
D00093,,514.508,4.081,4,3,62.39,8,4
D00094,,548.463,2.285,7,1,105.9,5,5
D00095,,474.418,3.63,3,1,35.58,5,4
D00096,,459.543,2.257,4,3,104.37,4,4
D00097,,463.513,2.719,6,1,88.82,5,5
D00098,,486.544,6.199,6,0,85.16,4,5
D00099,,456.558,3.23,5,2,68.82,8,4
D0009A,,462.594,2.312,4,2,73.91,5,5
D0009B,,478.618,3.786,6,1,92.26,5,5
D0009C,,480.584,2.509,6,1,82.61,6,5
D0009D,,496.007,3.27,5,1,80.23,5,5
D0009E,,482.621,2.911,6,2,78.05,10,4
D0009F,,462.359,5.332,3,1,47.56,5,4
D0009G,,533.672,1.861,6,1,113.09,5,5
D0009H,,453.558,3.15,3,2,70.67,5,4
D0009I,,457.506,1.663,6,2,105.68,7,4
D0009J,,468.554,1.691,6,2,102.02,6,4
D0009K,,485.531,3.433,4,1,71.11,5,5
D0009L,,456.03,4.166,4,3,62.39,7,4
D0009M,,456.384,4.367,2,2,61.44,5,4
D0009N,,462.388,3.481,5,1,65.38,6,4
D0009O,,513.436,3.441,4,2,95.74,4,4
D0009P,,496.579,3.625,5,0,68.31,7,5
D0009Q,,464.541,1.94,4,2,95.74,2,5
D0009R,,472.998,5.968,6,1,93.43,5,5
D0009S,,449.433,4.223,3,2,50.36,7,4
D0009T,,460.578,3.22,6,1,76.58,6,5
D0009U,,499.036,3.509,6,1,92.26,5,5
D0009V,,461.54,1.433,6,1,97.41,7,4
D0009W,,500.621,1.366,6,2,117.7,6,4
D0009X,,463.847,5.527,2,1,46.33,5,3
D0009Y,,470.411,4.343,2,1,52.65,4,4
D0009Z,,498.44,4.629,2,2,48.13,4,5
D000A0,,477.374,4.23,4,2,59.59,5,4
D000A1,,456.489,3.586,4,0,59.08,5,5
D000A2,,489.617,2.158,6,5,111.36,8,4
D000A3,,467.585,3.349,4,2,70.67,7,4
D000A4,,540.107,3.364,6,3,121.44,7,4
D000A5,,463.582,2.817,4,4,102.57,5,4
D000A6,,508.055,4.483,4,1,72.47,7,4
D000A7,,449.639,3.72,4,3,62.39,8,4
D000A8,,537.462,4.036,5,2,90.46,4,5
D000A9,,504.599,3.731,4,1,83.55,6,4
D000AA,,488.426,3.509,5,1,63.69,6,4
D000AB,,460.387,5.357,2,0,29.54,3,4
D000AC,,470.976,3.448,5,2,68.18,5,5
D000AD,,484.015,3.886,3,1,52.65,5,5
D000AE,,480.989,3.375,5,2,84.5,6,4
D000AF,,507.071,4.039,4,1,80.47,6,4
D000AG,,449.986,3.373,5,2,70.15,5,5
D000AH,,462.432,4.843,2,2,61.44,4,4
D000AI,,454.546,2.701,5,4,107.69,5,4
D000AJ,,467.997,3.215,3,1,61.88,4,5
D000AK,,532.46,2.157,5,1,96.44,3,5
D000AL,,474.539,1.923,7,2,138.79,8,4
D000AM,,484.015,4.302,3,2,61.44,5,5
D000AN,,514.439,3.867,3,1,52.65,4,5
D000AO,,501.465,4.29,4,1,64.79,6,4
D000AP,,504.9,3.984,3,2,58.36,5,4
D000AQ,,518.471,4.207,4,2,53.6,7,4
D000AR,,493.029,2.752,6,1,101.37,5,4
D000AS,,456.489,3.749,4,0,59.08,4,5
D000AT,,500.665,2.292,6,3,113.76,8,4
D000AU,,465.529,1.945,6,1,89.35,5,5
D000AV,,480.584,3.14,6,2,77.41,7,5
D000AW,,473.552,3.74,5,0,69.64,3,6
D000AX,,449.82,4.971,2,1,46.33,4,3
D000AY,,452.595,3.407,5,1,74.02,7,4
D000AZ,,470.455,4.139,3,3,53.16,6,4
D000B0,,514.439,3.867,3,1,52.65,4,5
D000B1,,467.591,4.044,6,1,90.29,6,4
D000B2,,457.578,3.705,4,1,70.47,4,5
D000B3,,516.455,4.232,3,2,61.44,6,4
D000B4,,451.542,2.754,3,1,61.88,4,5
D000B5,,472.423,5.481,3,1,47.56,7,4
D000B6,,496.558,3.464,5,1,76.46,6,5
D000B7,,549.462,3.57,4,1,83.55,3,5
D000B8,,464.541,3.782,5,1,76.46,6,5
D000B9,,500.596,2.552,6,1,93.53,6,5
D000BA,,450.489,3.289,4,0,58.44,4,6
D000BB,,472.607,3.215,6,0,76.15,6,4
D000BC,,465.594,3.115,4,2,79.9,6,4
D000BD,,477.515,3.487,5,1,79.59,4,6
D000BE,,452.393,2.418,3,2,70.67,5,3
D000BF,,519.038,3.827,4,0,74.76,4,5
D000BG,,555.922,4.138,4,1,75.71,6,4
D000BH,,500.561,4.967,3,0,49.85,5,5
D000BI,,455.371,5.648,1,1,36.1,4,5
D000BJ,,494.542,3.099,5,0,67.67,4,6
D000BK,,489.551,3.241,6,1,88.82,5,6
D000BL,,494.542,2.405,5,1,76.46,3,6
D000BM,,500.481,4.089,4,3,76.38,7,4
D000BN,,463.847,5.527,2,1,46.33,5,3
D000BO,,473.411,4.264,4,2,59.59,6,4
D000BP,,494.542,3.099,5,0,67.67,4,6
D000BQ,,484.434,4.253,3,0,38.77,3,5
D000BR,,465.529,1.945,6,1,89.35,5,5
D000BS,,460.54,4.983,3,1,41.57,7,4
D000BT,,452.549,4.313,4,1,64.15,6,4
D000BU,,459.543,1.809,4,1,78.95,4,5
D000BV,,468.395,5.265,3,1,58.22,3,5
D000BW,,475.431,3.431,5,1,59.39,6,4
D000BX,,508.569,3.294,5,0,67.67,5,6
D000BY,,464.997,4.684,5,1,67.35,5,5
D000BZ,,478.593,2.976,5,4,124.76,7,4
D000C0,,498.605,2.211,8,1,111.89,6,5
D000C1,,486.594,1.719,6,1,101.07,5,5
D000C2,,453.602,3.196,4,2,67.59,7,4
D000C3,,466.578,3.008,5,2,88.1,8,4
D000C4,,470.972,3.887,3,0,49.85,4,5
D000C5,,469.611,1.735,5,3,107.77,5,5
D000C6,,475.615,0.765,6,2,111.18,5,4
D000C7,,466.557,2.869,6,1,68.62,7,5
D000C8,,478.543,4.296,4,0,58.44,5,5
D000C9,,488.506,4.105,4,0,59.08,5,5
D000CA,,464.997,4.301,5,1,67.35,5,5
D000CB,,494.611,3.065,6,1,82.61,7,5
D000CC,,469.988,3.691,3,1,52.65,4,5
D000CD,,452.526,3.441,4,0,59.08,4,5
D000CE,,535.663,2.465,5,1,103.86,4,5
D000CF,,477.374,3.611,4,2,59.59,6,4
D000CG,,458.553,2.608,5,2,56.84,7,4
D000CH,,471.439,4.355,3,1,41.57,6,4
D000CI,,467.56,4.38,2,1,52.65,4,5
D000CJ,,454.014,3.727,4,2,67.59,4,5
D000CK,,486.454,3.807,4,3,62.39,7,4
D000CL,,469.004,4.774,4,1,64.15,6,4
D000CM,,455.505,5.046,4,1,67.45,5,5
D000CN,,459.009,2.941,4,2,61.6,6,4
D000CO,,463.578,2.508,4,1,71.11,5,5
D000CP,,462.981,4.115,5,0,58.56,2,6
D000CQ,,507.609,1.749,5,1,103.86,4,5
D000CR,,521.466,3.855,4,1,83.55,3,5
D000CS,,460.54,4.983,3,1,41.57,7,4
D000CT,,519.911,4.736,3,1,55.56,6,4
D000CU,,478.615,1.32,6,4,125.63,7,4
D000CV,,457.412,4.493,3,1,55.56,5,4
D000CW,,489.041,2.432,4,2,81.75,4,5
D000CX,,486.385,3.695,3,2,61.44,2,5
D000CY,,471.504,3.075,4,1,71.11,5,5
D000CZ,,450.514,2.276,4,1,86.95,3,5
D000D0,,476.552,2.938,5,0,67.67,4,6
D000D1,,455.982,3.778,4,0,48,4,5
D000D2,,464.541,2.634,4,1,86.95,3,5
D000D3,,457.571,3.706,3,1,69.72,4,5
D000D4,,460.521,4.011,5,3,79.82,7,4
D000D5,,458.584,2.162,6,4,110.77,6,4
D000D6,,534.882,4.183,3,2,70.67,5,4
D000D7,,452.551,2.979,5,1,77.1,8,4
D000D8,,465.041,5.298,4,2,58.95,7,4
D000D9,,490.572,3.536,4,1,83.55,5,4
D000DA,,462.543,2.055,6,1,94.59,7,4
D000DB,,520.077,4.474,5,2,79.26,6,5
D000DC,,486.569,1.968,5,2,98.82,5,5
D000DD,,530.463,3.476,4,2,79.9,6,4
D000DE,,519.649,1.067,6,3,127.92,5,5
