Target Pref Name_ppi,Canonical SMILES(RDKit),Target Pref Name_main
Integrins,CCOC(=O)C(=O)N(Cc1ccccc1)c1ccc2c(c1)OC(COc1ccc(C(N)=[NH2+])cc1)CO2,
Integrins,CCOC(=O)C(=O)N(Cc1ccccc1)c1ccc2c(c1)OC(COc1ccc(C(N)=[NH2+])cc1)CO2,
Integrins,CC(C)(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,
Integrins,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COc3ccc(C(=O)O)cc3)cc2o1,
Integrins,N=C(N)c1ccc(C2=NOC(CC(=O)N3CCCCC3CC(=O)O)C2)cc1,
Integrins,N=C(N)c1ccc(C2=NOC(CC(=O)N3CCCCC3CC(=O)O)C2)cc1,
Integrins,CCCCCCCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,
Integrins,CCC1(O)CC(=O)c2c(O)c3c(c(O)c2C1C(=O)OC)C(=O)c1cccc(O)c1C3=O,
Integrins,CC(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,
Integrins,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C,
Integrins,CC(=O)c1ccc(N2CCN(c3ccc(C[C@H](NC(=O)[C@@H]4CCCN4S(=O)(=O)c4ccccc4)C(=O)O)cc3)CC2)s1,
Integrins,C=CCC(CC(=O)[O-])NC(=O)N(CC(C)C)NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1,
Integrins,C=CCC(CC(=O)[O-])NC(=O)N(CC(C)C)NC(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1,
