Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I000BD,BCL2/BAX
BCL2-Like_BAX,I000BD,BCL2/BAX
BCL2-Like_BAX,I000BF,
BCL2-Like_BAX,I000BG,B2CL1/BAX
BCL2-Like_BAX,I000BG,BCL2/BAX
BCL2-Like_BAX,I000BG,BCL2/BAX
BCL2-Like_BAX,I000BG,B2CL1/BAX
BCL2-Like_BAX,I000BJ,
BCL2-Like_BAX,I000BK,B2CL1/BAX
BCL2-Like_BAX,I000BK,BCL2/BAX
BCL2-Like_BAX,I000BK,BCL2/BAX
BCL2-Like_BAX,I000BK,B2CL1/BAX
BCL2-Like_BAX,I000BP,BCL2/BAX
BCL2-Like_BAX,I000BP,BCL2/BAX
BCL2-Like_BAX,I000BR,
BCL2-Like_BAX,I000BS,B2CL1/BAX
BCL2-Like_BAX,I000BS,B2CL1/BAX
BCL2-Like_BAX,I000BS,BCL2/BAX
BCL2-Like_BAX,I000BS,BCL2/BAX
BCL2-Like_BAX,I000BY,MCL1/BAX
BCL2-Like_BAX,I000BY,MCL1/BAX
BCL2-Like_BAX,I000BY,BCL2/BAX
BCL2-Like_BAX,I000BY,B2CL1/BAX
BCL2-Like_BAX,I000BY,BCL2/BAX
BCL2-Like_BAX,I000BY,B2CL1/BAX
BCL2-Like_BAX,I000BZ,
BCL2-Like_BAX,I000C0,
BCL2-Like_BAX,I000C1,BCL2/BAX
BCL2-Like_BAX,I000C1,BCL2/BAX
BCL2-Like_BAX,I000C9,BCL2/BAX
BCL2-Like_BAX,I000C9,BCL2/BAX
BCL2-Like_BAX,I000CC,BCL2/BAX
BCL2-Like_BAX,I000CC,BCL2/BAX
BCL2-Like_BAX,I000CQ,BCL2/BAX
BCL2-Like_BAX,I000CQ,BCL2/BAX
BCL2-Like_BAX,I000CW,BCL2/BAX
BCL2-Like_BAX,I000CW,BCL2/BAX
BCL2-Like_BAX,I000CY,B2CL1/BAX
BCL2-Like_BAX,I000CY,B2CL1/BAX
BCL2-Like_BAX,I000CZ,BCL2/BAX
BCL2-Like_BAX,I000CZ,MCL1/BAX
BCL2-Like_BAX,I000CZ,BCL2/BAX
BCL2-Like_BAX,I000CZ,MCL1/BAX
BCL2-Like_BAX,I000D0,
BCL2-Like_BAX,I000D3,BCL2/BAX
BCL2-Like_BAX,I000D3,BCL2/BAX
BCL2-Like_BAX,I000D3,MCL1/BAX
BCL2-Like_BAX,I000D3,MCL1/BAX
BCL2-Like_BAX,I000D4,
BCL2-Like_BAX,I000DD,BCL2/BAX
BCL2-Like_BAX,I000DD,BCL2/BAX
BCL2-Like_BAX,I000DM,BCL2/BAX
BCL2-Like_BAX,I000DM,B2CL1/BAX
BCL2-Like_BAX,I000DM,BCL2/BAX
BCL2-Like_BAX,I000DM,B2CL1/BAX
BCL2-Like_BAX,I000DN,
BCL2-Like_BAX,I000DX,BCL2/BAX
BCL2-Like_BAX,I000DX,B2CL1/BAX
BCL2-Like_BAX,I000DX,B2CL1/BAX
BCL2-Like_BAX,I000DX,BCL2/BAX
BCL2-Like_BAX,I000DY,
BCL2-Like_BAX,I000E2,B2CL1/BAX
BCL2-Like_BAX,I000E2,BCL2/BAX
BCL2-Like_BAX,I000E2,BCL2/BAX
BCL2-Like_BAX,I000E2,B2CL1/BAX
BCL2-Like_BAX,I000E3,
BCL2-Like_BAX,I000E9,BCL2/BAX
BCL2-Like_BAX,I000E9,BCL2/BAX
BCL2-Like_BAX,I000EC,BCL2/BAX
BCL2-Like_BAX,I000EC,B2CL1/BAX
BCL2-Like_BAX,I000EC,MCL1/BAX
BCL2-Like_BAX,I000EC,B2LA1/BAX
BCL2-Like_BAX,I000EC,BCL2/BAX
